tag cell policy workload rate plen rep gates_ok offered goodput deliv lat_p50 lat_p90 lat_p99 lat_p999 under_slo resp censored sockdrops app_ns c_net_ns cyc refcyc cpu8_busy_s softirq_s napi_s user_s nice_s system_s irq_s steal_s cpu8_busy_stat_s cpu9_busy_s cpu40_busy_s wire_ok layers_ok snd_full
fig1-3 W1-P4-r130000-p64 P4 W1 130000 64 3 0 130000 51139 0.400 14.5 24.5 40.5 57.5 - - - 0 1184 1686 552.9 255.5 5.53 0.00 5.43 - - - - - - - - 1 0 5
fig1-3 W1-P4-r1300000-p64 P4 W1 1300000 64 2 0 1300000 5 0.000 27.5 209.5 342.5 342.5 - - - 0 25243 6145 23678.0 18189.2 0.06 0.00 0.00 - - - - - - - - 0 0 5
fig1-3 W1-P4-r1300000-p64 P4 W1 1300000 64 3 0 1300000 0 0.001 0.5 0.5 0.5 0.5 - - - 0 2242 0 802.7 398.1 0.03 0.00 0.00 - - - - - - - - 0 0 5
task1b W1-P4-r390000-p64 P4 W1 390000 64 1 1 390000 388180 0.999 12.5 24.5 25.5 31.5 - - - 4 1129 1278 540.2 249.1 29.82 0.00 31.25 2.23 0.00 24.16 0.00 0.00 26.39 34.017947544307695 0.010124740307692308 1 1 5
task1b W1-P4-r390000-p64 P4 W1 390000 64 2 1 390000 388171 0.999 11.5 22.5 25.5 30.5 - - - 1 1127 1254 570.8 263.2 29.89 0.00 30.66 2.38 0.00 24.01 0.00 0.00 26.39 33.69339964215385 0.013015436615384615 1 1 5
task1b W1-P4-r390000-p64 P4 W1 390000 64 3 1 390000 388162 0.999 11.5 24.5 25.5 30.5 - - - 1 1149 1293 559.5 258.0 30.55 0.00 31.62 2.30 0.00 24.34 0.00 0.00 26.64 34.61030395569231 0.016291786153846154 1 1 5
fig1-3 W1-P4-r525000-p64 P4 W1 525000 64 1 0 525000 311250 0.597 54.5 359.5 1421.5 1749.5 - - - 105868 1363 1189 483.9 223.2 25.74 0.00 23.32 - - - - - - - - 1 0 5
fig1-3 W1-P4-r525000-p64 P4 W1 525000 64 2 0 525000 209607 0.399 22.5 65.5 186.5 342.5 - - - 0 1526 1728 581.7 268.3 23.29 0.00 22.82 - - - - - - - - 1 0 5
fig1-3 W1-P4-r525000-p64 P4 W1 525000 64 3 0 525000 209636 0.399 21.5 151.5 322.5 433.5 - - - 0 1567 1704 602.5 277.9 23.42 0.00 22.51 - - - - - - - - 1 0 5
fig1-3 W1-P4-r790000-p64 P4 W1 790000 64 1 0 790000 0 0.003 0.5 0.5 0.5 0.5 - - - 0 1615 0 617.6 296.2 0.01 0.00 0.00 - - - - - - - - 0 0 5
fig1-3 W1-P4-r790000-p64 P4 W1 790000 64 2 0 790000 40 0.010 24.5 54.5 114.5 147.5 - - - 0 1419 1197 605.4 282.9 0.04 0.00 0.00 - - - - - - - - 0 0 5
fig1-3 W1-P4-r790000-p64 P4 W1 790000 64 3 0 790000 27 0.004 47.5 370.5 509.5 557.5 - - - 0 2071 5601 744.1 352.6 0.05 0.00 0.01 - - - - - - - - 0 0 5
fig1-3 W2-P0-r25000-p64 P0 W2 25000 64 1 0 25000 25000 0.396 144.5 583.5 2633.5 2794.5 22158 1774977 23 0 8123 0 1791.2 828.9 1.33 0.00 0.00 - - - - - - - - 1 0 5
fig1-3 W2-P0-r25000-p64 P0 W2 25000 64 2 0 25000 24986 0.400 27.5 44.5 62.5 72.5 24984 1773982 1018 0 11276 0 2595.9 1199.8 18.23 0.00 0.00 - - - - - - - - 1 0 5
fig1-3 W2-P0-r25000-p64 P0 W2 25000 64 3 0 25000 24987 0.400 141.5 762.5 2656.5 2815.5 21950 1774071 929 0 8536 13134 1734.2 802.6 23.71 0.00 0.00 - - - - - - - - 1 0 5
fig1-3 W2-P0X-r25000-p64 P0X W2 25000 64 1 0 25000 24987 0.400 107.5 850.5 2566.5 2730.5 20438 1774075 925 0 8226 80 2000.1 925.1 0.05 0.00 0.00 - - - - - - - - 1 0 5
fig1-3 W2-P0X-r25000-p64 P0X W2 25000 64 2 0 25000 24982 0.400 28.5 191.5 2160.5 2688.5 22792 1773732 1268 0 9289 64 2212.1 1022.9 0.04 0.00 0.00 - - - - - - - - 1 0 5
fig1-3 W2-P0X-r25000-p64 P0X W2 25000 64 3 0 25000 24973 0.400 29.5 1191.5 2595.5 2756.5 21092 1773095 1905 0 9057 0 2183.5 1009.7 0.00 0.00 0.00 - - - - - - - - 1 0 5
fig1-3 W2-P2-r25000-p64 P2 W2 25000 64 1 0 25000 24974 0.400 84.5 189.5 231.5 252.5 24962 1773142 1858 0 9008 5288 2017.4 933.1 19.80 0.00 3.30 - - - - - - - - 1 0 5
fig1-3 W2-P2-r25000-p64 P2 W2 25000 64 2 0 25000 24975 0.400 30.5 49.5 208.5 231.5 24972 1773221 1779 0 9189 6509 2349.7 1086.3 12.25 0.00 4.06 - - - - - - - - 1 0 5
fig1-3 W2-P2-r25000-p64 P2 W2 25000 64 3 0 25000 24973 0.400 131.5 716.5 2637.5 2833.5 21865 1773110 1890 0 7855 3738 1694.8 784.4 0.90 0.00 2.33 - - - - - - - - 1 0 5
fig1-3 W2-P3-r25000-p64 P3 W2 25000 64 1 0 25000 24973 0.400 115.5 215.5 2292.5 2716.5 23806 1773118 1882 0 9038 4496 2076.0 960.2 19.48 0.00 2.80 - - - - - - - - 1 0 5
fig1-3 W2-P3-r25000-p64 P3 W2 25000 64 2 0 25000 24977 0.400 126.5 197.5 2166.5 2699.5 23806 1773352 1648 0 9482 3134 2050.9 948.6 2.44 0.00 1.96 - - - - - - - - 1 0 5
fig1-3 W2-P3-r25000-p64 P3 W2 25000 64 3 0 25000 24976 0.400 43.5 169.5 2280.5 2714.5 23824 1773275 1725 0 9640 5263 2202.9 1018.7 8.07 0.00 3.28 - - - - - - - - 1 0 5
fig1-3 W2-P4-r25000-p64 P4 W2 25000 64 1 0 25000 24976 0.400 164.5 1935.5 2663.5 2760.5 17230 1773290 1710 0 6703 2047 1508.9 698.7 3.63 0.00 1.28 - - - - - - - - 1 0 5
fig1-3 W2-P4-r25000-p64 P4 W2 25000 64 2 0 25000 24972 0.400 159.5 1876.5 2654.5 2755.5 18328 1773034 1966 0 7539 2883 1833.5 848.3 5.32 0.00 1.80 - - - - - - - - 1 0 5
fig1-3 W2-P4-r25000-p64 P4 W2 25000 64 3 0 25000 24973 0.400 117.5 195.5 2124.5 2678.5 23955 1773088 1912 0 8555 3799 2142.1 990.6 12.99 0.00 2.37 - - - - - - - - 1 0 5
